HostID,CloudRegion,MemoryUtilization_Pct,NetworkThroughput_GB,HourlyCost_USD
HOST-00001,AWS_us-east-1,28.6,133.71,0.52
HOST-00002,Azure_westeurope,45.1,31.02,0.45
HOST-00003,AWS_ap-northeast-1,93.0,119.56,0.64
HOST-00004,AWS_us-east-1,17.6,104.26,0.52
HOST-00005,Azure_westeurope,50.7,92.23,0.45
HOST-00006,AWS_ap-northeast-1,93.9,80.05,0.64
HOST-00007,AWS_us-east-1,26.8,11.31,0.52
HOST-00008,Azure_westeurope,87.5,62.35,0.45
HOST-00009,AWS_ap-northeast-1,57.5,102.99,0.64
HOST-00010,AWS_us-east-1,76.6,15.62,0.52
HOST-00011,Azure_westeurope,35.7,175.58,0.45
HOST-00012,AWS_ap-northeast-1,43.8,63.67,0.64
HOST-00013,AWS_us-east-1,35.2,48.79,0.52
HOST-00014,Azure_westeurope,86.0,9.95,0.45
HOST-00015,AWS_ap-northeast-1,14.1,32.06,0.64
HOST-00016,AWS_us-east-1,47.8,63.02,0.52
HOST-00017,Azure_westeurope,57.8,24.17,0.45
HOST-00018,AWS_ap-northeast-1,40.9,64.0,0.64
HOST-00019,AWS_us-east-1,69.0,21.49,0.52
HOST-00020,Azure_westeurope,88.5,48.09,0.45
HOST-00021,AWS_ap-northeast-1,12.6,52.46,0.64
HOST-00022,AWS_us-east-1,20.3,20.09,0.52
HOST-00023,Azure_westeurope,29.7,48.62,0.45
HOST-00024,AWS_ap-northeast-1,64.6,68.38,0.64
HOST-00025,AWS_us-east-1,30.1,85.56,0.52
HOST-00026,Azure_westeurope,92.2,55.08,0.45
HOST-00027,AWS_ap-northeast-1,22.7,30.27,0.64
HOST-00028,AWS_us-east-1,14.0,5.35,0.52
HOST-00029,Azure_westeurope,50.0,7.07,0.45
HOST-00030,AWS_ap-northeast-1,68.0,83.02,0.64
HOST-00031,AWS_us-east-1,84.7,43.1,0.52
HOST-00032,Azure_westeurope,68.0,115.46,0.45
HOST-00033,AWS_ap-northeast-1,54.2,72.36,0.64
HOST-00034,AWS_us-east-1,49.7,123.39,0.52
HOST-00035,Azure_westeurope,31.9,88.01,0.45
HOST-00036,AWS_ap-northeast-1,53.2,88.58,0.64
HOST-00037,AWS_us-east-1,58.8,43.55,0.52
HOST-00038,Azure_westeurope,51.7,9.74,0.45
HOST-00039,AWS_ap-northeast-1,27.6,106.76,0.64
HOST-00040,AWS_us-east-1,48.3,11.15,0.52
HOST-00041,Azure_westeurope,89.9,6.03,0.45
HOST-00042,AWS_ap-northeast-1,36.5,104.83,0.64
HOST-00043,AWS_us-east-1,12.0,140.19,0.52
HOST-00044,Azure_westeurope,31.2,18.08,0.45
HOST-00045,AWS_ap-northeast-1,27.9,18.6,0.64
HOST-00046,AWS_us-east-1,27.2,26.75,0.52
HOST-00047,Azure_westeurope,67.0,29.04,0.45
HOST-00048,AWS_ap-northeast-1,73.1,72.52,0.64
HOST-00049,AWS_us-east-1,82.6,14.89,0.52
HOST-00050,Azure_westeurope,17.2,7.82,0.45
HOST-00051,AWS_ap-northeast-1,24.4,67.21,0.64
HOST-00052,AWS_us-east-1,93.0,5.59,0.52
HOST-00053,Azure_westeurope,10.2,141.37,0.45
